[   0 ,    0  97   3] 时隙: 0-------------------------------------------------------------------------------
[   0 ,    2 492 963] high freq  2500   1
[   0 ,    4 939 643] high freq  5000   2
[   0 ,    7 437 555] high freq  7500   3
[   0 ,    9 935 448] high freq  10000   4
[   0 ,   12 454 723] high freq  12500   5
[   0 ,   14 935  50] high freq  15000   6
[   0 ,   17 434 153] high freq  17500   7
[   0 ,   19 937 448] high freq  20000   8
[   0 ,   19 963 535] 时隙: 1-------------------------------------------------------------------------------
[   0 ,   20 312 970] NODE  3 收到网管节点飞行状态信息
[   0 ,   20 589 128] 最佳天线编号: 1, 俯仰角: nan, 方位角: nan
[   0 ,   22 476  95] high freq  22500   9
[   0 ,   24 937 670] high freq  25000   10
[   0 ,   27 436 705] high freq  27500   11
[   0 ,   29 935 560] high freq  30000   12
[   0 ,   32 451 725] high freq  32500   13
[   0 ,   34 932 460] high freq  35000   14
[   0 ,   37 431 680] high freq  37500   15
[   0 ,   39 931 733] high freq  40000   16
[   0 ,   39 957 128] 时隙: 2-------------------------------------------------------------------------------
[   0 ,   40 183  30] NODE  3 收到普通节点飞行状态信息
[   0 ,   40 256 335] 最佳天线编号: 1, 俯仰角: nan, 方位角: nan
[   0 ,   42 457 685] high freq  42500   17
[   0 ,   44 938 443] high freq  45000   18
[   0 ,   47 437  20] high freq  47500   19
[   0 ,   49 936 663] high freq  50000   20
[   0 ,   52 454 840] high freq  52500   21
[   0 ,   54 933 150] high freq  55000   22
[   0 ,   57 431 983] high freq  57500   23
[   0 ,   59 931 835] high freq  60000   24
[   0 ,   59 956 583] 时隙: 3-------------------------------------------------------------------------------
[   0 ,   60 154 890] NODE  3 发送飞行状态信息
[   0 ,   62 462 435] high freq  62500   25
[   0 ,   64 937 628] high freq  65000   26
[   0 ,   67 436 668] high freq  67500   27
[   0 ,   69 938 513] high freq  70000   28
[   0 ,   72 457 955] high freq  72500   29
[   0 ,   74 936 770] high freq  75000   30
[   0 ,   77 436 750] high freq  77500   31
[   0 ,   79 936 558] high freq  80000   32
[   0 ,   79 960 525] 时隙: 4-------------------------------------------------------------------------------
[   0 ,   82 466 138] high freq  82500   33
[   0 ,   84 936 848] high freq  85000   34
[   0 ,   87 435 475] high freq  87500   35
[   0 ,   89 936 190] high freq  90000   36
[   0 ,   92 452 175] high freq  92500   37
[   0 ,   94 932 480] high freq  95000   38
[   0 ,   97 432  33] high freq  97500   39
[   0 ,   99 932 715] high freq  100000   40
[   0 ,   99 956 230] 时隙: 5-------------------------------------------------------------------------------
[   0 ,  102 452 645] high freq  102500   41
[   0 ,  104 937 408] high freq  105000   42
[   0 ,  107 437 910] high freq  107500   43
[   0 ,  109 936 335] high freq  110000   44
[   0 ,  112 452 495] high freq  112500   45
[   0 ,  114 932 233] high freq  115000   46
[   0 ,  117 432 160] high freq  117500   47
[   0 ,  119 933 420] high freq  120000   48
[   0 ,  119 958  40] 时隙: 6-------------------------------------------------------------------------------
[   0 ,  122 454 995] high freq  122500   49
[   0 ,  124 937 335] high freq  125000   50
[   0 ,  127 436 555] high freq  127500   51
[   0 ,  129 936 463] high freq  130000   52
[   0 ,  132 451 798] high freq  132500   53
[   0 ,  134 932 250] high freq  135000   54
[   0 ,  137 432 235] high freq  137500   55
[   0 ,  139 932 543] high freq  140000   56
[   0 ,  140 226 500] 时隙: 7-------------------------------------------------------------------------------
